IATA,HC,CO,NOx,PM25,SO2,CO2
HJJ,               2.949146,              25.755949,                  142.875,                2.1655,                 9.280,                  21931.844
HLD,              10.130146,              95.165359,                  449.785,                6.7883,                28.986,                  68505.789
HLH,               2.063397,              29.637089,                  119.039,                2.3281,                 8.991,                  21250.822
HMI,               0.554385,               5.959109,                   20.985,                0.3865,                 1.486,                   3513.158
HNY,               8.406119,              69.680000,                  335.634,                5.2762,                22.041,                  52093.109
HPG,               0.819622,               7.602141,                   32.635,                0.4220,                 2.269,                   5362.645
HRB,             223.685944,            1887.448242,                 4113.873,               52.5668,               307.957,                 727838.312
HSN,               6.432742,              55.183331,                  296.911,                4.5853,                18.927,                  44733.734
HTN,               5.453558,              68.888519,                  222.343,                3.8364,                16.385,                  38724.219
HTT,               0.484338,               5.356322,                   23.549,                5.2937,                 1.668,                   3943.351
HUO,               0.035877,               6.209786,                   16.261,                2.9626,                 1.660,                   3923.792
HUZ,               9.417585,              75.506248,                  464.263,                5.8843,                27.454,                  64885.766
HXD,               0.289463,               3.820773,                   24.862,               10.3006,                 1.687,                   3986.273
HYN,               4.140434,              39.163708,                  202.100,                3.0728,                13.091,                  30939.234
HZG,               2.401771,              21.710146,                  130.707,                1.9797,                 8.011,                  18932.902
HZH,               0.632223,               3.465291,                   14.122,                0.1758,                 0.884,                   2090.089
INC,              71.575111,             578.875610,                 2538.725,               33.7524,               159.591,                 377183.781
IQM,               0.301031,              12.673787,                   26.759,                0.7241,                 2.769,                   6544.665
IQN,               2.142619,              19.422523,                   67.350,                1.1468,                 4.736,                  11193.170
JDZ,               5.650990,              48.504723,                  298.956,                4.5253,                18.736,                  44280.344
JGD,               2.888579,              18.222248,                   72.242,                1.0198,                 4.804,                  11353.695
JGN,               2.331464,              24.216440,                  110.521,                1.7612,                 7.836,                  18520.004
JGS,               4.134700,              40.270149,                  202.632,                3.0812,                13.280,                  31385.604
JHG,              12.726852,             126.145195,                  576.259,                8.9513,                40.377,                  95428.914
JIC,               0.882162,               7.922169,                   38.816,                0.5881,                 2.587,                   6113.997
JIQ,               1.009378,              10.390702,                   50.219,                0.8410,                 3.620,                   8555.801
JJN,              24.444145,             215.155640,                 1155.002,               17.7003,                74.321,                 175653.641
JMJ,               1.053665,               9.119025,                   42.520,                0.6603,                 2.870,                   6783.369
JMU,               1.596418,              14.802814,                   79.767,                1.2208,                 5.137,                  12141.315
JNG,               6.250830,              65.746384,                  178.363,                3.1412,                13.849,                  32730.240
JNZ,               1.436151,              14.434887,                   75.434,                1.1530,                 4.822,                  11397.127
JSJ,               0.945068,               8.285122,                   46.876,                0.7055,                 2.837,                   6704.072
JUH,               2.925980,              25.156290,                  148.228,                2.2478,                 9.550,                  22571.209
JUZ,               2.851054,              24.182606,                  116.486,                1.8766,                 7.541,                  17822.320
JXA,               2.770578,              22.291061,                   80.867,                1.1781,                 5.698,                  13467.432
JZH,               0.000000,               0.000000,                    0.000,                0.0000,                 0.000,                      0.000
KCA,               0.979054,              14.622985,                   30.617,                0.7451,                 2.897,                   6846.302
KGT,               1.664752,              15.733654,                   59.376,                0.8337,                 4.059,                   9593.452
KHG,               8.816857,              90.301285,                  318.894,                4.5498,                21.323,                  50394.641
KHN,              61.285912,             550.400452,                 2467.618,               39.5279,               158.790,                 375291.281
KJH,               0.521847,               4.591066,                   23.061,                0.3511,                 1.598,                   3777.397
KJI,               3.927254,              28.535667,                  122.135,                1.8164,                 7.921,                  18720.387
KMG,             421.033630,            4644.982422,                 6435.049,               89.0113,               592.498,                1400336.750
KOW,               8.123646,              71.597466,                  289.356,                9.6310,                20.011,                  47295.676
KRL,               5.573875,              91.514679,                  309.578,                5.9941,                24.457,                  57801.895
KRY,               6.217165,              62.724659,                  269.516,                4.5789,                18.559,                  43864.359
KWE,             209.532364,            2172.971191,                 3293.206,               49.5230,               288.328,                 681445.125
KWL,              38.178062,             350.418213,                 1564.476,               22.8792,               102.108,                 241327.578
LCX,               0.886724,               8.601066,                   47.285,                0.7218,                 3.016,                   7128.707
LDS,               0.399042,               4.668613,                   16.394,                0.2559,                 1.232,                   2911.124
LFQ,               3.397790,              28.705444,                   95.934,                1.6689,                 7.290,                  17229.764
LHW,              93.601318,             880.948242,                 2821.855,               40.6690,               199.019,                 470370.750
LJG,              19.630554,             185.592224,                  761.312,               11.3674,                54.442,                 128670.000
LLB,               0.153878,               6.213280,                   18.042,                0.4911,                 1.754,                   4145.570
LLV,               4.825109,              32.868427,                  229.379,                7.3594,                12.226,                  28896.453
LNJ,               0.943321,               8.089299,                   34.717,                0.5621,                 2.430,                   5744.125
