IATA,HC,CO,NOx,PM25,SO2,CO2
YSQ,211.545014,1690.504944,4138.633,56.4435,347.646,821644.906
YTY,866.088623,9847.001953,19100.752,292.1787,1951.233,4611661.75
YUN,0.032564,4.85404,66.727,40.7133,4.895,11570.531
YUS,28.264575,281.150986,491.717,6.4697,53.539,126536.598
YYA,265.202698,2096.766357,5338.404,67.9091,459.366,1085684
YZY,68.44291,760.618591,2010.797,31.1532,188.768,446141.625
ZAT,155.385811,1262.017334,2868.67,42.1083,265.817,628244.531
ZHA,583.201386,6720.546875,14592.339,228.6893,1389.115,3283097.625
ZHY,324.24797,2404.658569,5236.923,71.6876,479.517,1133312.437
ZQZ,139.807678,1307.113037,2378.738,34.8482,223.403,527999.188
ZUH,3242.134521,31858.19629,68775.436,926.0207,6170.638,14583580.5
ZYI,505.453338,4998.812134,8093.161,130.7895,911.3,2153811.75
